Lens ID,Combined,Keyphrases,Classifications,Category
003-663-712-789-73X,"Flexible translucent to transparent fireproof composite material A fireproof, translucent, flexible coated fabric composite material for use in fire curtains. The composite material meets or exceeds regulatory requirements in terms of fire endurance and allows transmissivity of necessary amounts of light. The process of the present disclosure combines a silica fabric with a special refractory index controlled resin. This unique combination of materials can transform an opaque high temperature fabric into a translucent, and even transparent, composite which as the ability to resist high temperature, flame and smoke penetration that fills a needed gap in technology between visibility and fire resistance in the field of fire and smoke curtains used in civil construction.",,C04B41/009;;B29C70/003;;C04B41/4961;;C04B41/64;;C04B2111/28;;C04B2111/805;;C08J5/248;;D03D1/0035;;D10B2101/16;;D10B2505/02;;E04C2/54;;B29C70/003;;C08J5/248;;C08L83/00;;E04B1/94;;C04B41/009;;B05D3/007;;B29C70/003;;B32B1/00;;C04B41/4961;;C04B41/64;;C04B2111/28;;C04B2111/805;;C08J5/248;;D03D1/0035;;D03D25/00;;D04H1/593;;D06M17/00;;D10B2101/16;;D10B2505/02;;E04C2/00;;E04C2/54;;E04B1/94;;B27N9/00;;B28B3/00;;B32B17/10;;E04C2/54,mineralTextiles
000-872-959-178-561,"Basalt containing fabric Product comprising: a fabric made at least of yarns containing at least basalt fibers, said yarns or fibers being possibly at least partly provided with a sizing agent, said fabric having a weight comprised between 100 g/m<2 >and 2000 g/m<2>; at least a polyester polyurethane coating layer coating at least partly a face of the fabric, said coating having a polyester polyurethane weight comprised between 5 and 100 g/m<2>, advantageously between 10 and 50 g/m<2>, preferably between 20 and 40 g/m<2>.",,D02G3/16;;A41D31/085;;D03D15/247;;D03D15/30;;D10B2101/06;;D10B2101/12;;D10B2101/20;;D10B2501/00;;D10B2505/08;;Y10S428/92;;Y10S428/921;;Y10T428/31551;;Y10T442/2631;;Y10T442/2926;;Y10T442/2959;;Y10T442/2984;;Y10T442/2992;;A41D31/085;;D02G3/16;;D03D15/247;;D03D15/30;;D10B2101/06;;D10B2101/12;;D10B2101/20;;D10B2501/00;;D10B2505/08;;Y10S428/92;;Y10S428/921;;Y10T428/31551;;Y10T442/2631;;Y10T442/2926;;Y10T442/2959;;Y10T442/2984;;Y10T442/2992;;A41D31/00;;D02G3/16;;D03D15/00;;D03D15/12,mineralTextiles
005-077-009-162-637,"Biosoluble inorganic fiber and method for producing same An inorganic fiber which comprises a biosoluble fiber and a cationic surfactant adhering thereto, wherein the amount of the surfactant is 0.01-2 wt%, taking the whole inorganic fiber carrying the surfactant adhered thereto as 100 wt%.",,C03C13/00;;C03C3/087;;C03C25/25;;C03C2213/02;;C04B35/6224;;C04B35/62844;;C04B2235/3201;;C04B2235/3206;;C04B2235/3208;;C04B2235/3217;;C04B2235/3224;;C04B2235/3225;;C04B2235/3227;;C04B2235/3229;;C04B2235/3232;;C04B2235/3244;;C04B2235/3262;;C04B2235/3272;;C04B2235/34;;C04B2235/3409;;C04B2235/72;;D06M2200/30;;Y10T428/294;;D02G3/36;;C03C3/087;;C03C13/00;;C03C25/25;;C03C2213/02;;C04B35/6224;;C04B35/62844;;C04B2235/3201;;C04B2235/3206;;C04B2235/3208;;C04B2235/3217;;C04B2235/3224;;C04B2235/3225;;C04B2235/3227;;C04B2235/3229;;C04B2235/3232;;C04B2235/3244;;C04B2235/3262;;C04B2235/3272;;C04B2235/34;;C04B2235/3409;;C04B2235/72;;D02G3/045;;D02G3/443;;D06M13/2246;;D06M13/325;;D06M2101/00;;D06M2200/30;;D06M2200/35;;D06M2200/40;;D10B2101/08;;Y10T428/294;;D01F9/08;;C03C13/00;;C03C25/10;;C04B35/66;;C04B35/80;;D06M13/463,mineralTextiles
033-533-691-316-767,"CARBON-COATED CERAMIC FABRIC MATERIAL PURPOSE: To obtain the subject textile useful for insulation gloves, etc., having abrasion resistance by uniformly coating a roving composed of a plurality of ceramic fibers with an elemental carbon containing no metal. CONSTITUTION: Ceramic fibers 10 having 5-20 μm diameter in number of 100-1,000 are spun from an organic sol 12 composed of a mixture containing precursor substances of Al2 O3 , B2 O3 and SiO2 , passed through a baking furnace 14 and drawn together to form a roving 16. The roving is coated with a metal- free organic lubricating sizing material 18 in such a way that the amount of the sizing material 18 comprising a poly(ethylene glycol), a starch, etc., is 2-3% based on the weight of the ceramic fibers. The roving is passed on a pair of hot cans 20 and 21 many times, dried and taken up on a winder 22. The plurality of rovings are combined to give the objective textile. The textile is heated in an inert atmosphere such as nitrogen at 600-800 deg.C not changing the crystal structure of the ceramic fibers so as to remove the organic substances and to form 0.25-0.4% of a coating film of elemental carbon based on the weight of the ceramic fibers on the surface of the ceramic fibers.",,D02G3/46;;A41D31/08;;C03C25/44;;C04B30/02;;C04B35/62245;;C04B41/009;;C04B41/4584;;C04B2111/10;;D01F9/08;;D06M15/53;;A41D31/00;;C03C25/44;;C04B30/02;;C04B35/622;;C04B41/45;;D01F9/10;;D02G3/46;;D03D15/00;;D06M11/74;;D06M15/61;;D06M101/00,mineralTextiles
052-646-681-888-809,"Qualitative and quantitative detecting method of asbestos fibers in water The invention relates to a qualitative and quantitative detecting method of asbestos fibers in water. The method comprises the following steps: filtering water samples to be detected, and correspondingly preparing filtering membrane samples for qualitative and quantitative analyzing through the filtered water samples to be detected; obtaining sample infrared spectrograms through a microscopic infrared spectrometer; comparing the sample infrared spectrograms with an asbestos fiber characteristic spectrum to determine whether the samples contain asbestos; further counting the number of asbestosfibers on filtering membrane through a phase contrast microscope; and calculating the concentration of the asbestos fibers. With the adoption of the method, the asbestos fibers in water can be quicklyidentified; the method is simple to operate, economic and effective in asbestos fiber detection.",,;;G01N21/3563,mineralTextiles
060-452-270-558-412,"Laminar textile fibreglass material The material has a visible side and a rear side, where the visible side forms a front side. The visible- and rear sides have coatings (5) made of polyurethane. The coating in the visible side has smaller dry mass than the coating of the rear side based on dry mass of the polyurethane in gram per square meter. The material contains R-glass, M-glass, corrosion resistive E-glass (ECR-Glass), D-glass, alkaline resistant (AR)-glass, E-glass, C-glass and fibers e.g. polyester-, Kevlar(RTM: Para-aramid synthetic fiber)- and carbon fibers. An independent claim is also included for a method for producing a flat, textile glass fiber material.",,D06N3/142;;D06N3/0022;;D06N7/0002;;D06N7/00;;D06N3/00;;D06N3/14,mineralTextiles
061-925-465-884-369,Water-repellent fiber A water repellent fiber (300) for a yarn and/or a fabric or textile is provided. The fibers (300) comprise a hydrophobic material. The fiber (300) further comprises a shape or conformation comprising one or more micro-and/or nano-sized structures (310).,,D01F6/46;;D01D5/08;;D01F8/06;;D01D5/253;;D03D15/527;;D03D15/33;;D10B2101/122;;D10B2401/021;;D03D15/60;;D03D15/283;;D10B2321/02;;D10B2331/02;;D10B2331/04;;D03D15/527;;D03D15/37;;D03D15/283;;D02G3/28;;D03D15/292;;D10B2401/10;;D10B2401/021;;D01D5/253;;D01F6/04;;D02G3/02;;D02G3/26;;D10B2321/02;;D10B2401/021;;D01D5/08;;D01D5/253;;D01F6/46;;D01F8/06;;D03D1/00,mineralTextiles
074-926-039-070-027,"Heat-resisting textile based on carborane ceramic coating layer and preparation method thereof The invention discloses heat-resisting textile based on a carborane ceramic coating layer and a preparation method thereof. The heat-resisting textile comprises aramid fiber textile body and the carborane ceramic coating layer, wherein carborane ceramic is prepared from a carborane ceramic precursor, and the precursor is supported by a framework of cyclo-silazane, has a cross-linked network structure and has a very good ceramization yield in further crosslinking. Therefore, the compact ceramic coating layer can be formed on the surface of the aramid fiber; the provided precursor has convenient preparation technology, moderate preparation reaction condition, raw material easy to obtain and suitability for industrial large production; the aramid fiber textile processed by the coating layer has very excellent heat resistance and oxidation resistance.",,D06M15/6436;;C08G77/54;;C08G77/56;;C08G77/80;;D06M2101/36;;D06M15/643;;C08G77/54;;C08G77/56;;D06M101/36,mineralTextiles
073-747-569-685-950,"GLASS WOOL SHAPED ARTICLE AND METHOD OF FORMATION THEREOF A glass wool molded product (4) comprising a layered body (2) of glass wools (1) is characterized in that the layered body (2) does not contain any binder, the layered body (2) is needle punched in a direction (Y) orthogonal to a longitudinal direction (X) of the wools thereof, that the layered body (2) is integrally formed, the wools have an average diameter of 3 to 7 µm, and each of the wools has a length between 10 and 200mm. Preferably, the molded product has a multilayer structure in a direction orthogonal to the longitudinal direction of the wools, and the average diameter of the fibers or wools of a first layer differ from each other. Preferably, a density of the second layer that of the second layer differ from each other.",,D04H1/46;;B32B5/02;;B32B5/06;;B32B5/12;;B32B5/26;;B32B17/02;;B32B2250/20;;B32B2255/02;;B32B2255/20;;B32B2262/101;;B32B2307/304;;B32B2307/72;;B32B2307/7246;;B32B2307/7265;;B32B2419/04;;B32B2419/06;;D04H1/4218;;D04H1/4374;;D04H1/43838;;D04H1/74;;D04H13/00;;Y10T428/24992;;Y10T428/249925;;Y10T428/26;;D04H1/4218;;D04H1/498;;D04H1/58;;D04H1/74;;D04H1/46;;B32B5/02;;B32B5/06;;B32B5/12;;B32B5/26;;B32B17/02;;B32B2250/20;;B32B2255/02;;B32B2255/20;;B32B2262/101;;B32B2307/304;;B32B2307/72;;B32B2307/7246;;B32B2307/7265;;B32B2419/04;;B32B2419/06;;D04H1/4218;;D04H1/4374;;D04H1/43838;;D04H1/74;;D04H13/00;;Y10T428/24992;;Y10T428/249925;;Y10T428/26;;D04H1/00;;B32B17/02;;D04H/;;D04H1/42;;D04H1/46;;D04H13/00,mineralTextiles
081-441-408-985-387,MINERAL WOOL INSULATION Mineral wool insulation products are provided. The mineral wool insulation includes a plurality of mineral wool fibers and a wax emulsion applied to the mineral wool fibers. The wax emulsion imparts excellent water resistance and thermal performance properties to the mineral wool insulation.,,E04B1/88;;F16L59/04;;F16L59/145;;C03C25/10;;C03C25/146;;C03C25/255;;G10K11/162;;C08J5/043;;C08J2491/06;;C03C25/285;;C03C25/40;;C03C25/30;;C03C13/06;;G10K11/162;;F16L59/14;;C08J2383/04;;C08J2483/04;;C08J2323/08;;C08J2423/08;;C08J2333/02;;C08J2433/02;;C08J2391/06;;C03C25/255;;E04B1/88;;B32B19/04;;B32B19/06;;B32B25/10;;B32B27/12,mineralTextiles
