Lens ID,Combined,Keyphrases,Classifications,Category
017-586-030-873-928,"METHOD AND APPARATUS FOR SUPPORTING SECURE DATA ROUTING There is provided a method and system for supporting secure data routing for artificial intelligence services in a communication network. According to embodiments there is provided a system including a platform controller for managing artificial intelligence (AI) services and a coordinator for managing data transmission of the AI services. The platform controller is configured to obtain, from an AI controller, a first security credential used for re-encryption of uplink data for an AI service, wherein the uplink data includes encrypted data from a device and obtain, from the device, a second security credential for re-encryption of downlink data for the AI service, wherein the second downlink data includes encrypted data from an AI server. The platform controller is further configured to provide, to the coordinator, both the first security credential and the second security credential. The coordinator is configured to receive, from the platform controller, both the first security credential and the second security credential and perform re-encryption of the uplink data for the AI service and send re-encrypted uplink data to the AI server. The coordinator is further configured to perform re-encryption of the downlink data for the AI service and send re-encrypted downlink data to the device.",,H04L9/0891;;G06N3/045;;G06N3/084;;H04L63/0421;;H04L63/0478;;H04L9/321;;G06N3/08;;H04L9/0891;;H04L63/0421;;H04L63/0428;;H04L9/32;;G06N3/08;;H04L9/08,antiSeed
186-379-309-774-130,"MODEL TEST METHOD AND APPARATUS A model test method and an apparatus are provided. The method includes: A terminal receives first information from a network device; the terminal determines at least one test set based on the first information; the terminal tests an AI model based on the at least one test set, to obtain a test result; and the terminal notifies the network device of the test result of the AI model. According to the method and the apparatus, the network device can test an AI model deployed in the terminal.",,G06F11/22;;Y02D30/70;;G06N3/08;;G06N20/00;;G06N3/0464;;G06N3/044;;G06N20/00;;G06N3/04,antiSeed
168-193-812-846-244,"DATA PROCESSING METHOD AND RELATED PRODUCTS The present disclosure discloses a data processing method and related products, in which the data processing method includes: generating, by a general-purpose processor, a binary instruction according to device information of an AI processor, and generating an AI learning task according to the binary instruction; transmitting, by the general-purpose processor, the AI learning task to the cloud AI processor for running; receiving, by the general-purpose processor, a running result corresponding to the AI learning task; and determining, by the general-purpose processor, an offline running file according to the running result, where the offline running file is generated according to the device information of the AI processor and the binary instruction when the running result satisfies a preset requirement. By implementing the present disclosure, the debugging between the AI algorithm model and the AI processor can be achieved in advance.",,G06N3/08;;G06N3/063;;G06N3/105;;G06F11/3058;;G06F11/302;;G06F11/3409;;G06N3/048;;G06N3/044;;G06N3/045;;G06N3/08;;G06N3/063;;G06N20/00;;G06F9/30014;;G06F9/3869;;G06F9/546;;G06F11/3058;;G06F8/4441;;G06F8/65;;G06N20/00;;G06F8/41;;G06F8/65,antiSeed
046-449-600-954-051,"DATA PROCESSING METHOD AND RELATED PRODUCTS The present disclosure discloses a data processing method and related products, in which the data processing method includes: generating, by a general-purpose processor, a binary instruction according to device information of an AI processor, and generating an AI learning task according to the binary instruction; transmitting, by the general-purpose processor, the AI learning task to the cloud AI processor for running; receiving, by the general-purpose processor, a running result corresponding to the AI learning task; and determining, by the general-purpose processor, an offline running file according to the running result, where the offline running file is generated according to the device information of the AI processor and the binary instruction when the running result satisfies a preset requirement. By implementing the present disclosure, the debugging between the AI algorithm model and the AI processor can be achieved in advance.",,G06F11/362;;G06F8/30;;G06N3/02;;G06N20/00;;G06F11/3644;;G06N3/063;;G06N20/00;;G06N3/063;;G06F11/3664;;G06F11/362;;G06F30/331;;G06F30/27;;G06F9/4411;;G06N3/044;;G06N3/045;;G06N3/08;;Y02D10/00;;G06F11/3688;;G06N3/063;;G06N3/08;;G06F9/455;;G06F11/3696;;G06F15/163;;G06F9/4887;;G06F11/3644;;G06F11/3664;;G06F11/3692;;G06F8/30;;G06F9/4411;;G06F9/5072;;G06N20/00;;G06N3/044;;G06N3/045;;G06F30/27;;G06F30/331;;Y02D10/00;;G06F9/4411;;G06F9/4887;;G06F9/5072;;G06F11/3644;;G06F11/3664;;G06F11/3688;;G06F11/3692;;G06F9/50;;G06N20/20,antiSeed
039-963-533-367-84X,"METHOD AND APPARATUS FOR SUPPORTING SECURE DATA ROUTING There is provided a method and system for supporting secure data routing for artificial intelligence services in a communication network. According to embodiments there is provided a system including a platform controller for managing artificial intelligence (AI) services and a coordinator for managing data transmission of the AI services. The platform controller is configured to obtain, from an AI controller, a first security credential used for re-encryption of uplink data for an AI service, wherein the uplink data includes encrypted data from a device and obtain, from the device, a second security credential for re-encryption of downlink data for the AI service, wherein the second downlink data includes encrypted data from an AI server. The platform controller is further configured to provide, to the coordinator, both the first security credential and the second security credential. The coordinator is configured to receive, from the platform controller, both the first security credential and the second security credential and perform re-encryption of the uplink data for the AI service and send re-encrypted uplink data to the AI server. The coordinator is further configured to perform re-encryption of the downlink data for the AI service and send re-encrypted downlink data to the device.",,H04L9/0891;;G06N3/045;;G06N3/084;;H04L63/0421;;H04L63/0478;;H04L9/321;;G06N3/08;;H04L9/0891;;H04L63/0421;;H04L63/0428;;G06F21/56,antiSeed
101-394-908-934-150,"SURGICAL SUPPORT SYSTEM, DATA PROCESSING APPARATUS AND METHOD A surgical support system including: a surgical data generating apparatus operable to generate surgical data associated with a surgical procedure; and a data processing apparatus operable to: determine artificial intelligence (AI) assistance information using the generated surgical data; and provide the determined AI assistance information to a user.",,G16H40/63;;G16H20/40;;A61B2034/2048;;A61B2034/2065;;A61B34/30;;A61B2017/00203;;A61B2090/365;;A61B2090/372;;A61B90/37;;A61B2090/371;;A61B2090/502;;G16H50/20;;G16H50/70;;A61B2017/00216;;A61B2034/256;;A61B2034/254;;A61B34/25;;A61B34/25;;A61B90/37;;A61B90/50;;A61B2090/502;;G06N20/00;;G16H20/40;;G06N5/043;;A61B34/00;;A61B90/00;;A61B90/50;;G06N20/00,antiSeed
159-082-107-905-909,"Dermal delivery device A transdermal drug delivery device is disclosed. Over an extended wear period, the device causes cumulative moderate irritation plus significant irritation of less than 5% and/or achieves a meaningful degree of detachment over a seven day period of less than 20%.",,A61K9/7061;;A61K31/57;;A61K9/7084;;A61K31/56;;A61P15/18;;A61P5/24;;A61K9/7061;;A61K31/57;;A61K9/7084;;A61K31/56;;A61K9/70;;A61K31/56;;A61K31/57,antiSeed
174-634-075-285-800,"STORAGE DEVICE, DISTRIBUTED STORAGE SYSTEM, AND DATA PROCESSING METHOD This application provides a storage device, a distributed storage system, and a data processing method, and belongs to the field of storage technologies. In this application, an AI apparatus is disposed inside a storage device, so that the storage device has an AI computing capability. In addition, the storage device further includes a processor and a hard disk, and therefore further has a service data storage capability. Therefore, convergence of storage and AI computing power is implemented. An AI parameter and service data are transmitted inside the storage device through a high-speed interconnect network without a need of being forwarded through an external network. Therefore, a path for transmitting the service data and the AI parameter is greatly shortened, and the service data can be loaded nearby, thereby accelerating loading.",,G06F16/27;;G06F13/16;;G06F13/4282;;H04L67/1097;;G06F16/252;;G06N3/08;;H04L67/1097;;G06N3/044;;G06N3/045;;G06F3/0613;;G06F3/0631;;G06F3/067;;H04L67/1097;;G06F16/27;;G06F13/16,antiSeed
154-077-442-181-196,"METHOD AND APPARATUS FOR STREAMING VR IMAGE Provided are an edge data network for streaming a virtual reality (VR) image and a device for displaying a VR image. An example method, performed by the edge data network, of streaming a VR image includes receiving gaze information of a user viewing the VR image from a device, determining at least a partial region among all of regions of the VR image as an artificial intelligence (AI) scaling target region of the VR image, based on the gaze information, determining an AI scaling change level for the AI scaling target region, performing a scaling change on a region corresponding to the AI scaling target region among the regions of the VR image obtained from a media server, according to the AI scaling change level, generating VR image data including the AI scaling target region, and streaming the VR image data to the device.",,G06T3/4046;;G06F3/013;;H04N13/139;;H04N13/194;;H04N13/117;;H04N21/816;;H04N21/21805;;G06N3/08;;G06F3/013;;G06T3/4046;;G06T3/4046;;G06F3/013;;H04L65/61;;G06T3/40;;G06F3/01;;H04L29/06,antiSeed
187-201-515-536-350,"SYSTEM AND METHOD FOR AI MODEL WATERMARKING A method for watermarking prediction outputs generated by a first AI model to enable detection of a target AI model that has been distilled from the prediction outputs, comprises: receiving, at the first AI model, a set of input data samples from a requesting device; storing at least a subset of the input data samples to maintain a record of the input data samples; predicting, using the first AI model, a respective set of prediction outputs that each include a probability value, the AI model using a watermark function to insert a periodic watermark signal in the probability values of the prediction outputs; and outputting, from the first AI model, the prediction outputs including the periodic watermark signal.",,G06N3/08;;G06F21/16;;G06N7/01;;G06N3/04;;G06N20/00;;G06F21/16;;G06N3/08,antiSeed
