Lens ID,Combined,Keyphrases,Classifications,Category
065-528-931-353-44X,"Steel wire mesh made of steel wires having hexagonal rings, production device and production method The invention relates to a wire mesh (54a-d), in particular a hexagonal mesh, made of steel wires (10a-d, 12a-d, 14a-d) having hexagonal mesh openings (16a-d), in particular for civil engineering purposes, preferably for use in the field of natural disaster protection, in which the steel wires (10a-d, 12a-d, 14a-d) are twisted alternately with adjacent steel wires (10a-d, 12a-d, 14a-d), and in which the steel wires (10a-d, 12a-d, 14a-d) are twisted alternately with adjacent steel wires (10a-d, 12a-d, 14a-d). The steel wires (10a-d, 12a-d, 14a-d) are formed of high-strength steel or have at least a wire core made of high-strength steel. According to the invention, the ratio, in particular the average ratio, calculated from the mesh width (18a-d), in particular the average mesh width (18a-d), of the hexagonal meshes (16a-d) and the mesh height (20a-d), in particular the average mesh height, of the hexagonal meshes (16a-d) measured perpendicular to the mesh width (16a-d) is at least 0.75, preferably at least 0.8.",,B21F27/06;;B21F27/005;;E01F7/04;;D04B1/108;;D10B2101/20;;D10B2505/204;;D10B2507/02;;B21F27/06;;B21F27/005;;E01F7/04;;E02B3/12;;B21F27/005;;B21F27/02;;B21F27/06,metalTextiles
069-650-255-660-210,"METALLIC YARN A metallic complex yarn having a covering thread is provided to express multiple colors by preparing covering thread for the surface of the metallic yarn, and to raise durability and color reflection effect, and to have the wide range of applications. An aluminum or a silver powder is evaporated on the surface of a polyester film(10) for forming a metal layer. The evaporated polyester film is cut to have established thickness for forming a metallic complex yarn(100). A covering thread(50) consists of the polyester thread dyed on the surface of the metallic complex yarn. The processed covering thread is wound at established intervals to be the metallic complex yarn(500) having covering thread. The exposed area of the metal layer(20) of the metallic complex yarn having covering thread is adjusted by controlling the intervals of the covering thread wound around the metallic complex yarn. The metallic complex yarn having covering thread is formed by winding the two covering threads in the opposite direction around the metallic complex yarn respectively.",,D02G3/38;;D02G3/12;;D02G3/36;;D02G3/441;;D04B1/14;;D10B2101/20;;D10B2501/00;;D02G3/36;;D02G3/12,metalTextiles
072-233-647-840-326,"Conductive fabric,method of manufacturing a conductive fabric and apparatus therefor ",,D02G3/441;;D03D1/0088;;D03D13/008;;D03D15/00;;D03D15/283;;D03D15/67;;D03D49/20;;D03D49/60;;D03D51/007;;D10B2101/20;;D10B2401/16;;D02G3/441;;D02G3/12;;D03D15/00;;D03D15/283;;D03D15/67;;H01B7/083;;H05K9/009;;D03D15/283;;D03D15/00;;D03D15/67;;,metalTextiles
055-198-091-295-280,"Safety belt and method for producing a safety belt The invention describes a seat belt (10) for a motor vehicle comprising a webbing (12) that includes plural layers (26, 28, 30) at least one layer (26) of which comprises an electric heating element (26). The invention further describes a method for manufacturing such seat belt (10).",,B60R22/12;;D03D1/0035;;D03D11/00;;D03D15/00;;D10B2101/12;;D10B2101/20;;D10B2401/16;;D10B2505/122;;D03D15/275;;D03D15/67;;D03D1/0035;;B60R22/12;;D03D11/00;;D10B2101/12;;D10B2101/20;;D10B2401/16;;D10B2505/122;;D03D15/67;;D03D15/275;;D03D15/00;;B60R22/12;;D03D1/00;;D03D11/00;;D03D15/00;;D03D15/275;;D03D15/67,metalTextiles
079-373-952-634-085,"WIRES INCORPORATING A HELICAL COMPONENT, ASSEMBLIES THEREOF, AND USE OF SAID ASSEMBLIES AS CATALYSER AND/OR TO RECOVER PRECIOUS METALS. ",,D02G3/12;;B01J35/58;;B01J37/082;;C01B21/265;;C01B21/267;;C01C3/0216;;C01C3/022;;C01C3/0233;;D03D15/67;;D04B1/14;;D10B2101/20;;D10B2403/0242;;Y10T442/109;;Y10T442/339;;Y10T442/425;;D02G3/12;;B01J35/58;;B01J37/082;;C01B21/265;;C01B21/267;;C01C3/0216;;C01C3/022;;C01C3/0233;;D03D15/67;;D04B1/14;;Y10T442/109;;Y10T442/339;;Y10T442/425;;C01B21/40;;B01J20/26;;B01J23/40;;B01J35/06;;B01J37/08;;C01B21/26;;C01B21/38;;C01C3/02;;D02G3/12;;D02G3/38;;D03D15/02;;D04B1/14,metalTextiles
073-506-111-387-532,"A METHOD OF MAKING A SYNTHETIC RESIN STRUCTURE In a method of forming a synthetic resin structure integral with two-dimensional steel fabric, a warp (1) and woof (2) are made from a steel metal, and these wires are woven in a planar configuration to provide a two-dimensional steel fabric (4) which is then pressed into a flat structure (6). Two flat structures (6) are set at a metallic mold die (8), into which a synthetic resin is injected so as to form a synthetic resin body (11) integral with the flat structures (6). This makes it possible to secure a sufficient space between the flat structures (6), and spread the synthetic resin fully into the flat structures (6) so as to reinforce a surface of the synthetic resin body (11) with durability and high rigidity. Through the toughness, strength and price of the steel metal, it is possible to provide a marketability with products manufactured by using the present method.",,B29C45/14065;;D03D15/25;;D03D15/67;;D03D15/67;;B29C33/16;;B29C45/14065;;B29C45/14221;;B29C45/14786;;B29C2045/14229;;B29K2705/00;;D03D15/25;;D10B2101/20;;D03D1/00;;B29C33/16;;B29C45/14065;;B29C45/14221;;B29C45/14786;;B29C2045/14229;;B29K2705/00;;D02G3/12;;D03D15/25;;D03D15/67;;D10B2101/20;;B29C45/14;;D03D15/00,metalTextiles
081-046-358-303-017,"STRIP-SHAPED STEEL CORD A steel cord is obtained by bundling five steel core wires, which are arrayed in parallel with one another in a plane, into a unitary body by means of an adhesive having a thickness Ad of less than 15 μm. Each of the core wires-constituting the steel cord has a diameter d of less than 0.45 mm, and spacing Gd between the core wires is less than 20 μm. The core wires used have a free coil diameter D that is greater than wire diameter d thereof by 750 times or more.",,D07B1/062;;B32B15/015;;B60C9/0007;;B60C2009/0014;;B60C2009/0021;;B60C2009/2061;;B60C2009/2077;;D07B1/06;;D07B1/16;;D07B2201/2011;;D07B2201/2033;;D07B2201/2043;;D07B2205/3089;;D07B2401/205;;B60C9/2006;;B32B15/015;;B60C9/00;;B60C9/0007;;B60C9/20;;B60C2009/0014;;B60C2009/0021;;B60C2009/0071;;B60C2009/2061;;B60C2009/2077;;D02G3/12;;D02G3/36;;D02G3/48;;D07B1/06;;D07B1/062;;D07B1/16;;D07B2201/2033;;D07B2201/2043;;D07B2205/3089;;D07B2401/205;;D10B2101/20;;D10B2505/12;;B60C9/20;;B32B15/01;;B60C9/00;;D02G3/12;;D02G3/36;;D02G3/48,metalTextiles
079-371-609-369-49X,"GLOVE AND GLOVE MANUFACTURING METHOD USING TUNGSTEN YARN The present invention relates to a glove having increased cut resistance and, more specifically, to a glove using a tungsten yarn, the glove comprising: a main yarn which comprises a tungsten yarn, a first HPPE yarn, a second HPPE yarn, and a nylon yarn, and which is formed by twisting a first yarn and a second yarn with each other, wherein the first yarn is formed by twisting the tungsten yarn, the first HPPE yarn, and the nylon yarn with one another, and the second HPPE yarn serves as the second yarn; and an auxiliary yarn formed by twisting a spandex yarn and a nylon yarn with each other, wherein the glove is knitted such that the main yarn is positioned on the outer surface thereof and the auxiliary yarn is positioned on the inner surface thereof.",,D02G3/442;;A41D19/01511;;D04B1/14;;D04B1/28;;D10B2101/20;;D10B2501/041;;D04B1/28;;A41D19/01511;;D04B1/14;;D10B2101/20;;D10B2501/041;;D04B1/28;;A41D19/015;;D04B1/14,metalTextiles
069-690-063-792-127,"MESH STRUCTURE AND METHOD FOR MANUFACTURING SAME, ANTENNA REFLECTION MIRROR, ELECTROMAGNETIC SHIELDING MATERIAL, AND WAVEGUIDE TUBE A mesh structure is a knitted fabric or woven fabric including element wires of a zirconium copper fiber or element wires of a stainless steel fiber.",,D04B21/12;;D06M11/05;;H01P3/12;;H01Q15/20;;H01Q1/288;;H01P11/002;;H01Q15/141;;D03D1/0058;;D03D15/25;;D03D15/68;;D10B2101/20;;H05K9/009;;B32B5/024;;B32B2255/02;;B32B5/26;;B32B2307/202;;B32B2457/20;;B32B5/026;;B32B2262/106;;B32B2260/021;;B32B2457/00;;B32B2262/103;;B32B3/28;;B32B2307/30;;B32B2255/205;;B32B2307/51;;B32B1/08;;B32B3/04;;B32B2307/212;;B32B27/12;;B32B15/14;;B32B2307/546;;B32B2260/046;;B32B2307/746;;B32B3/02;;B32B5/028;;D03D15/25;;C25D7/0607;;D04B1/14;;D04B21/12;;D06M11/83;;D10B2101/20;;D10B2401/16;;D10B2505/00;;H01P3/12;;H05K9/009;;H01Q15/168;;D03D15/25;;C25D7/06;;D04B1/14;;D04B21/12;;D06M11/83;;H01P3/12;;H01Q15/16;;H05K9/00,metalTextiles
070-081-798-029-335,"Heterogeneous fabric for quenching ring A fabric (30) is adapted for covering at least partially a ring for quenching glass which has been bent. The fabric (30) comprises at least three strips (32, 34, 36): a strip (32) of a high-density knitted structure for quenching the glass and two strips (34, 36) of a lower density structure for attaching the fabric (30) to the ring.",,C03B27/044;;C03B27/0442;;C03B35/207;;C03B40/005;;Y10T428/24198;;Y10T442/45;;D04B21/14;;D10B2101/20;;C03B27/0442;;C03B35/207;;C03B37/01;;C03B40/005;;D04B1/14;;Y10T428/24198;;Y10T442/45;;C03B40/005;;C03B35/207;;C03B27/044;;C03B27/0442;;C03B27/044;;C03B35/20,metalTextiles
