Lens ID,Combined,Keyphrases,Classifications,Category
006-871-513-754-919,"Yarns, high wear resistance fabrics and objects made therefrom ",,D02G3/045;;D02G3/442;;D03D1/0041;;D03D15/225;;D03D15/283;;D03D15/47;;D03D15/573;;D10B2201/02;;D10B2201/20;;D10B2201/22;;D10B2201/24;;D10B2331/02;;D10B2401/063;;D10B2501/00;;D10B2505/08;;Y10T428/249921;;Y10T442/2631;;Y10T442/313;;Y10T442/3976;;Y10T442/438;;D02G3/045;;D01F2/00;;D01F8/12;;D02G3/442;;D02G3/446;;D03D1/00;;D03D13/00;;D03D15/225;;D03D15/283;;D03D15/47;;D04B1/14;;D10B2501/04;;D10B2503/00;;D10B2503/06;;D10B2503/062;;D10B2505/12;;D02G3/045;;D02G3/442;;D03D1/0041;;D03D15/225;;D03D15/283;;D03D15/47;;D03D15/573;;D10B2201/02;;D10B2201/20;;D10B2201/22;;D10B2201/24;;D10B2331/02;;D10B2401/063;;D10B2501/00;;D10B2505/08;;Y10T428/249921;;Y10T442/2631;;Y10T442/313;;Y10T442/3976;;Y10T442/438;;D02G3/04;;D03D15/00;;D04B1/14,naturalTextiles
013-415-974-758-490,"BIODEGRADABLE DISPOSABLE SCRUBBER AND METHOD FOR MAKING THE SCRUBBER The present invention relates to a biodegradable disposable scrubber and a method for manufacturing the same. More specifically, the present invention provides a biodegradable disposable scrubber and a method for manufacturing the same, wherein the biodegradable disposable scrubber uses Gelidium amansii and Pueraria montana var. lobate to have excellent biodegradability, does not cause environmental pollution problems caused by microplastics, and has excellent cleaning power and usability, so there is no problem with bacterial growth.",,A47L17/08;;D01F2/00;;D10B2201/01;;D10B2401/12;;A47L17/08;;D01F2/00,naturalTextiles
015-620-233-691-87X,"NATURAL SILK MADE FROM SUNFLOWER FIBRES Invention herewith described refers to the natural silk made from the sunflower fibres which are in the first phase obtained by soaking the sunflower stalks with a continuous effecting of the warm water of the temperature around 35°C on the woody part of the sunflower stalk, for a continuous period of 72 hours. During this period the pectic substances (vegetable glue) dissolve and the scutch (woody part of the plant) separates from the fibres. In the second stage, there is performed the extraction of so obtained fibres from the scutch and their use as textile fibres for making silk yarn.The textile fibres from the sunflower stalk are vegetable protein fibres that can be used as the raw material for making silk clothing fabric (for the summer and work clothes), for producing silk fabrics for households, and decorative fabrics (luxurious materials of a wide range of colours, patterns and weaving) for furniture upholstery, draperies, curtains, coverlets and carpets. These fibres can also be used for the production of technical textiles and composite materials (building materials, pressed panels, insulating panels), thus meeting the actual environmental requirements.These fibres are used for making the special pulp used in paper making, and in medicine for making surgical thread.",,;;D01B1/10;;A61K36/28,naturalTextiles
011-289-808-425-861,Rayon structure ,,B60C9/0042;;D02G3/48;;D10B2201/22;;B60C9/0042;;D02G3/48;;D10B2201/22;;B60C9/00,naturalTextiles
016-916-010-019-268,"METHOD FOR PRODUCING BAMBOO BOARD A bamboo board manufacturing method is provided to be used as materials for vehicles or ships and to absorb shock applied to freight by using barks of the coconut palms. The bamboo board manufacturing method comprises the steps of: laminating thin and long bamboo skin textiles in horizontal and vertical directions with crossing each other; inserting a wood material to form a hollow part between the bamboo textiles; dipping the bamboo textiles in an adhesive agent; and pressing the bamboo textiles at high pressure by a press(30). The adhesive agent is heated at 100~120C. After the pressing step, the bamboo textiles are polished by fine sand and varnished. The strength of the outer side of a bamboo board is high by making the outer side of the bamboo textiles. The inner side is made of light wood.",,B27J1/003;;B27D3/00;;B32B7/12;;B32B21/042;;B27J1/00,naturalTextiles
023-908-832-136-432,"Shrink-proof anti-wrinkle all-cotton textile fabric The utility model relates to the technical field of fabrics, and discloses a shrink-proof anti-wrinkle all-cotton textile fabric which comprises an all-cotton textile layer, an elastic textile layer is fixedly connected to the side wall of the upper side of the all-cotton textile layer, and an anti-wrinkle layer is fixedly connected to the side wall of the side, away from the all-cotton textile layer, of the elastic textile layer. A heat preservation layer is fixedly connected to the side wall of the lower side of the all-cotton textile layer, and a sweat absorption layer is fixedly connected to the side wall of the side, away from the all-cotton textile layer, of the heat preservation layer. The shrink-proof and crease-resistant performance of the fabric can be improved, and the use comfort of the fabric is effectively improved.",,;;B32B9/02;;B32B9/04;;B32B27/32;;B32B33/00,naturalTextiles
023-226-348-485-413,"Bamboo filament underwear knitted fabric The invention discloses bamboo filament underwear knitted fabric. Knitting is performed by using long mulberry silk as surface yarn, spandex filaments as base yarn and bamboo filament and semi-dull filaments as a middle layer, wherein a mass ratio of the long mulberry silk, bamboo filament, semi-dull filaments and spandex filaments is 6:2:1:1. The purpose of the invention is to provide the bamboofilament underwear knitted fabric which integrates functionality, ultra-lightness, ultra-thinness, softness and smoothness.",,D04B1/14;;A41B17/00;;D04B1/16;;D04B1/18;;D10B2201/10;;D10B2211/04;;D10B2331/10;;D04B1/14;;A41B17/00;;D04B1/16;;D04B1/18,naturalTextiles
037-200-533-346-768,"Flame resistant fabrics having cellulosic filament yarns Flame resistant fabrics that have incorporated into them cellulosic filament yarns. The cellulosic filament yarns may be flame resistant (either inherently FR or treated so as to be FR) or non-flame resistant. Fabrics according to some embodiments are formed entirely of cellulosic filament yarns. However, fabrics according to some embodiments include additional yarns to ensure that the fabric complies with NFPA 1971 and/or 2112.",,D02G3/443;;A41D31/08;;D02G3/02;;D03D1/0035;;D03D15/513;;D04B1/16;;D10B2201/20;;D10B2321/101;;D10B2331/021;;D02G3/443;;A41D31/08;;D02G3/02;;D03D1/0035;;D03D15/513;;D04B1/16;;D10B2201/20;;D10B2321/101;;D10B2331/021;;D03D15/12;;D02G3/04;;D04B1/16,naturalTextiles
026-787-858-248-521,CLEANING CLOTH ,,A47L13/256;;A47L13/16;;A47L13/44;;D03D1/0023;;D03D15/283;;D03D15/587;;D06M10/00;;D06M17/06;;D10B2201/01;;D10B2201/02;;D10B2201/24;;D10B2201/28;;D10B2211/02;;D10B2211/04;;D10B2321/021;;D10B2321/022;;D10B2321/041;;D10B2331/02;;D10B2331/04;;D10B2401/041;;D10B2401/062;;A47L13/256;;A47L13/16;;A47L13/44;;D03D1/0023;;D03D15/283;;D03D15/587;;D06M10/00;;D06M17/06;;D10B2201/01;;D10B2201/02;;D10B2201/24;;D10B2201/28;;D10B2211/02;;D10B2211/04;;D10B2321/021;;D10B2321/022;;D10B2321/041;;D10B2331/02;;D10B2331/04;;D10B2401/041;;D10B2401/062;;A47L13/16;;D03D27/00,naturalTextiles
030-361-226-191-56X,"Anti-mosquito fabric capable of permanently releasing large number of anions The invention relates to an anti-mosquito fabric capable of permanently releasing a large number of anions. The anti-mosquito fabric comprises a base layer (1), wherein a supporting layer (2), a breathable layer (3) and an anti-mosquito layer (4) are successively arranged outside of the base layer; the back surface of the base layer is provided with a lining fabric layer, and the lining fabric isan anion fabric and comprises ordinary yarns, elastic yarns and anion yarns which are interwoven through a double-side weaving method; the ordinary yarns are woven on the outer surface of the lining fabric layer and have a component content larger than 50%; the elastic yarns have a component content of 2% and replace a part of the ordinary yarns in weaving arrangement; and the anion yarns are woven on the inner surface of the lining fabric layer and have a component content less than 48%. The anti-mosquito fabric provided by the invention is insusceptible to deformation, has good air-permeableeffect, can inhibit and kill bacteria, and can permanently release a large number of anions.",,B32B5/02;;B32B5/06;;B32B5/26;;B32B33/00;;B32B2250/20;;B32B2262/00;;B32B2262/02;;B32B2262/0253;;B32B2262/0292;;B32B2262/062;;B32B2262/065;;B32B2262/103;;B32B2305/18;;B32B2307/70;;B32B2307/7145;;B32B2307/724;;B32B2307/764;;B32B2437/00;;D03D15/00;;D03D15/56;;D10B2201/02;;D10B2201/10;;D10B2211/20;;D10B2321/10;;D10B2331/10;;B32B9/02;;B32B5/02;;B32B5/06;;B32B5/26;;B32B9/00;;B32B9/04;;B32B15/02;;B32B15/098;;B32B15/14;;B32B27/02;;B32B27/32;;B32B27/40;;B32B27/42;;B32B33/00;;D03D15/20;;D03D15/208;;D03D15/217;;D03D15/233;;D03D15/283;;D03D15/50;;D03D15/56,naturalTextiles
