#,Title,Abstract,CPC Classifications,IPCR Classifications,Combined,Keyphrases
1,Pneumatic tire,,B60C9/08;;B60C9/005;;B60C9/22;;D02G3/48;;D10B2331/021;;B60C9/08;;B60C9/005;;B60C9/22;;D02G3/48;;D10B2331/021,B60C9/04,,
2,BRUSHED CIRCULAR KNITTED FABRIC,"Provided is a circular knitted fabric that has double loops obtained by stacking at least two synthetic fiber multifilaments, wherein at least one surface of the circular knitted fabric has undergone brush processing, and the FT index represented by the equation T2/T1 (where, T1 is the thickness (of one layer) according to a method prescribed by JIS, and T2 is the thickness according to the same method prescribed by JIS when the fabric is folded in two) is 2.1 or greater. Thus, it is possible to provide a brushed circular knitted fabric that has a strength and stretchability suitable for use in a coat or jacket, and is superior in physical properties such as pilling resistance and changes in dimensions with washing.",D04B1/16;;D10B2331/04;;D10B2403/0111;;D10B2403/0114;;D10B2403/0121;;D04B1/24;;D04B1/16;;D04B1/246;;D04B1/04;;D04B1/102;;D04B1/16;;D04B1/18;;D10B2331/04;;D10B2403/0111;;D10B2403/0121;;D10B2403/023;;Y10T442/438;;Y10T442/45,D04B1/00,"BRUSHED CIRCULAR KNITTED FABRIC Provided is a circular knitted fabric that has double loops obtained by stacking at least two synthetic fiber multifilaments, wherein at least one surface of the circular knitted fabric has undergone brush processing, and the FT index represented by the equation T2/T1 (where, T1 is the thickness (of one layer) according to a method prescribed by JIS, and T2 is the thickness according to the same method prescribed by JIS when the fabric is folded in two) is 2.1 or greater. Thus, it is possible to provide a brushed circular knitted fabric that has a strength and stretchability suitable for use in a coat or jacket, and is superior in physical properties such as pilling resistance and changes in dimensions with washing.",
3,Ultrasound thermal bonding high-density polyethylene composite fiber bundle for wiping and producing method thereof,"The invention discloses an ultrasound thermal bonding high-density polyethylene composite fiber bundle for wiping. The bundle is at least integrally composed of 100 strands of composite fiber, in the structure of the cross section of single strand of composite fiber, isotactic polypropylene or polyester is adopted as a core, high-density polyethylene is adopted as a coating material on the outer surface of the core, the outer surface of the coating material high-density polyethylene is provided with a groove, the outer surface of the coating material high-density polyethylene is coated with an oil layer, the oil layer is a surface active oil agent and an anti-static oil agent, the diameter of the composite fiber is 0.1-100 micrometers, the length of the composite fiber is 0.01-1,000,000 meters, the breaking strength is not lower than 2.5 cN/dtex, the elongation at break is 45-100%, the curl number is 0-50 /25mm, the curvature is 0-30%, and the oil content is 0.001-1.8% (by weight). According to a producing method of the ultrasound thermal bonding high-density polyethylene composite fiber bundle for wiping, through ultrasound thermal bonding, whisker-materials for wiping are prepared. The ultrasound thermal bonding high-density polyethylene composite fiber bundle for wiping is high in dirt removal rate, and low in cost at the same time.",D02G3/02;;D01D5/08;;D01D5/088;;D01D5/096;;D01D5/247;;D01D5/34;;D01D7/00;;D01D11/06;;D02G3/402;;D02G3/44;;D10B2321/021;;D10B2321/022;;D10B2331/04,D02G3/02;;D01D5/08;;D01D5/088;;D01D5/096;;D01D5/247;;D01D5/34;;D01D7/00;;D01D11/06;;D02G3/40;;D02G3/44,"Ultrasound thermal bonding high-density polyethylene composite fiber bundle for wiping and producing method thereof The invention discloses an ultrasound thermal bonding high-density polyethylene composite fiber bundle for wiping. The bundle is at least integrally composed of 100 strands of composite fiber, in the structure of the cross section of single strand of composite fiber, isotactic polypropylene or polyester is adopted as a core, high-density polyethylene is adopted as a coating material on the outer surface of the core, the outer surface of the coating material high-density polyethylene is provided with a groove, the outer surface of the coating material high-density polyethylene is coated with an oil layer, the oil layer is a surface active oil agent and an anti-static oil agent, the diameter of the composite fiber is 0.1-100 micrometers, the length of the composite fiber is 0.01-1,000,000 meters, the breaking strength is not lower than 2.5 cN/dtex, the elongation at break is 45-100%, the curl number is 0-50 /25mm, the curvature is 0-30%, and the oil content is 0.001-1.8% (by weight). According to a producing method of the ultrasound thermal bonding high-density polyethylene composite fiber bundle for wiping, through ultrasound thermal bonding, whisker-materials for wiping are prepared. The ultrasound thermal bonding high-density polyethylene composite fiber bundle for wiping is high in dirt removal rate, and low in cost at the same time.",
4,High-performance polyethylene multifilament yarn,"Processes for making high-performance polyethylene multi-filament yarn are disclosed which include the steps of a) making a solution of ultra-high molar mass polyethylene in a solvent; b) spinning of the solution through a spinplate containing at least 5 spinholes into an air-gap to form fluid filaments, while applying a draw ratio DRfluid; c) cooling the fluid filaments to form solvent-containing gel filaments; d) removing at least partly the solvent from the filaments; and e) drawing the filaments in at least one step before, during and/or after said solvent removing, while applying a draw ratio DRsolid of at least 4, wherein in step b) each spinhole comprises a contraction zone of specific dimension and a downstream zone of diameter Dn and length Dn with Ln/Dn of from 0 to at most 25, to result in a draw ratio DRfluid=DRsp*DRag of at least 150, wherein DRsp is the draw ratio in the spinholes and DRag is the draw ratio in the air-gap, with DRsp being greater than 1 and DRag at least 1. High-performance polyethylene multifilament yarn, and semi-finished or end-use products containing said yarn, especially to ropes and ballistic-resistant composites, are also disclosed.",A61L17/04;;A61L27/16;;C08L23/06;;C08L53/02;;C08L2203/12;;D01D4/02;;D01F6/04;;D02G3/02;;D07B1/025;;D07B2205/2014;;D10B2321/0211;;F41H5/0485;;Y10T428/24041;;Y10T428/24058;;Y10T428/24124;;Y10T428/249921;;Y10T428/29;;Y10T428/2913;;Y10T428/2967;;Y10T442/2615;;Y10T442/2623;;D01F6/04;;D01D4/00;;D01D4/02;;D01F6/46;;D01F6/04;;A61L17/04;;A61L27/16;;B32B5/22;;B32B7/03;;B32B15/14;;B32B27/06;;B32B2307/56;;B32B2571/02;;C08F10/02;;C08L23/06;;C08L53/02;;C08L2203/12;;D01D4/02;;D01D5/18;;D02G3/02;;D07B1/025;;D07B2205/2014;;D07B2801/10;;D10B2321/0211;;F41H5/0471;;F41H5/0478;;F41H5/0485;;Y10T428/24041;;Y10T428/24058;;Y10T428/24124;;Y10T428/249921;;Y10T428/29;;Y10T428/2913;;Y10T428/2967;;Y10T442/2615;;Y10T442/2623,B32B27/32;;A61L17/04;;A61L17/10;;A61L27/16;;B32B5/22;;B32B7/03;;B32B15/14;;B32B27/06;;C08F10/02;;C08L23/06;;C08L53/02;;D01D4/02;;D01D5/18;;D01F6/04;;D02G3/02;;D07B1/02;;F41H5/04,"High-performance polyethylene multifilament yarn Processes for making high-performance polyethylene multi-filament yarn are disclosed which include the steps of a) making a solution of ultra-high molar mass polyethylene in a solvent; b) spinning of the solution through a spinplate containing at least 5 spinholes into an air-gap to form fluid filaments, while applying a draw ratio DRfluid; c) cooling the fluid filaments to form solvent-containing gel filaments; d) removing at least partly the solvent from the filaments; and e) drawing the filaments in at least one step before, during and/or after said solvent removing, while applying a draw ratio DRsolid of at least 4, wherein in step b) each spinhole comprises a contraction zone of specific dimension and a downstream zone of diameter Dn and length Dn with Ln/Dn of from 0 to at most 25, to result in a draw ratio DRfluid=DRsp*DRag of at least 150, wherein DRsp is the draw ratio in the spinholes and DRag is the draw ratio in the air-gap, with DRsp being greater than 1 and DRag at least 1. High-performance polyethylene multifilament yarn, and semi-finished or end-use products containing said yarn, especially to ropes and ballistic-resistant composites, are also disclosed.",
5,MULTI-PLY KNIT FABRIC,"A multi-ply knit fabric (10) containing a first knit ply (100) and a second knit ply (200). The first knit ply (100) contains a plurality of first yarns and forms the upper surface (10a) of the fabric (10). The second knit ply (200) forms the lower surface (10b) of the fabric (10) and contains a plurality of polytetrafluoroethylene (PTFE) yarns having a density of about 2 to 2.25 g/cm3, a transmission in the IR region of 8-10 um at least about 40%, and a thermal conductivity of at least about 0.2 W/(m.K). The plies (100, 200) are integrated through combined portions formed by at least one of the following methods: interlacing first yarns among the PTFE yarns of the second knit ply (200), interlacing PTFE yarns among the first yarns of the first knit ply (100), and interlacing a plurality of third yarns among the first yarns of the first knit ply (100) and the PTFE yarns of the second knit ply (200).",D04B1/16;;D10B2321/042;;D10B2403/0114;;D04B1/16;;B32B5/026;;B32B5/06;;B32B5/26;;D04B1/24;;D04B21/16;;D04B21/207;;D10B2321/042;;D10B2403/0114,D04B1/16,"MULTI-PLY KNIT FABRIC A multi-ply knit fabric (10) containing a first knit ply (100) and a second knit ply (200). The first knit ply (100) contains a plurality of first yarns and forms the upper surface (10a) of the fabric (10). The second knit ply (200) forms the lower surface (10b) of the fabric (10) and contains a plurality of polytetrafluoroethylene (PTFE) yarns having a density of about 2 to 2.25 g/cm3, a transmission in the IR region of 8-10 um at least about 40%, and a thermal conductivity of at least about 0.2 W/(m.K). The plies (100, 200) are integrated through combined portions formed by at least one of the following methods: interlacing first yarns among the PTFE yarns of the second knit ply (200), interlacing PTFE yarns among the first yarns of the first knit ply (100), and interlacing a plurality of third yarns among the first yarns of the first knit ply (100) and the PTFE yarns of the second knit ply (200).",
6,AIRBAG BASE FABRIC AND PRODUCTION METHOD THEREFOR,"In conventional weaving methods, the tension of warp yarns at width-direction end parts during weaving tends to be insufficient, and as a result, a difference in crimp ratio between the width-direction center and the width-direction end parts of the base fabric has been generated. The difference in crimp ratio has caused unevenness in the width direction of a woven fabric. As a solution thereto, in the present invention, the boiling water shrinkage percentage of to-be-inserted additional yarns is set to be lower than that of foundation yarns, so that shrinkage is suppressed in the width-direction end parts of the base fabric, resulting in making it possible to decrease the difference in crimp ratio between the width-direction center and the width-direction end parts of the base fabric, thereby making it possible to produce an airbag base fabric having excellent evenness in the width direction.",D03D1/02;;D03D15/567;;B60R21/235;;D03D15/283;;D10B2401/04;;D10B2505/124;;D03D13/008;;D10B2331/02;;B60R2021/23509;;D06C7/02;;D03D15/567;;B60R21/235;;D03D1/02,D03D1/02;;B60R21/235;;D03D5/00;;D03D15/567;;D06C7/00,"AIRBAG BASE FABRIC AND PRODUCTION METHOD THEREFOR In conventional weaving methods, the tension of warp yarns at width-direction end parts during weaving tends to be insufficient, and as a result, a difference in crimp ratio between the width-direction center and the width-direction end parts of the base fabric has been generated. The difference in crimp ratio has caused unevenness in the width direction of a woven fabric. As a solution thereto, in the present invention, the boiling water shrinkage percentage of to-be-inserted additional yarns is set to be lower than that of foundation yarns, so that shrinkage is suppressed in the width-direction end parts of the base fabric, resulting in making it possible to decrease the difference in crimp ratio between the width-direction center and the width-direction end parts of the base fabric, thereby making it possible to produce an airbag base fabric having excellent evenness in the width direction.",
7,"FIBER FOR TIRE, RUBBER/FIBER COMPLEX, AND TIRE",,D01F6/62;;B60C9/00;;D01D5/16;;D02G3/48;;D10B2331/041;;B60C9/0007;;B60C9/00;;D01D5/16;;D01F6/62;;D02G3/48,D01F6/62;;B60C9/00;;D01D5/16;;D02G3/48,,
8,"A SYNTHETIC TEXTILE SUPPORT FOR BITUMINOUS SHEATHS, PARTICULARLY FOR COATING ROOFS","There is described a synthetic textile support for bituminous sheaths, particularly for the coating of roofs. The textile support consists of two layers (1, 2) of non-woven lap of polyester fibres, between which there is interposed a plurality of continuous polyester threads (3) arranged parallel to one another in the longitudinal direction of the textile support.",,B32B5/26;;B32B27/36;;D04H13/00,"A SYNTHETIC TEXTILE SUPPORT FOR BITUMINOUS SHEATHS, PARTICULARLY FOR COATING ROOFS There is described a synthetic textile support for bituminous sheaths, particularly for the coating of roofs. The textile support consists of two layers (1, 2) of non-woven lap of polyester fibres, between which there is interposed a plurality of continuous polyester threads (3) arranged parallel to one another in the longitudinal direction of the textile support.",
9,METHOD OF MANUFACTURING AN INTEGRAL PROFILE MONOLITHIC WING STRUCTURE,"A method of manufacturing a wing structure includes laying a plurality of layers of preimpregnated material on a first mould half and on a second mold half so as to form a first fresh skin and a second fresh skin of the wing structure. A plurality of layers of preimpregnated material are laid in succession on a shaped apparatus to form a fresh leading edge skin of the wing structure. Fresh spars of preimpregnated material are formed. A wedgelike body of expanded plastics material is formed, this body being designed to be interposed between the first and second skins at the trailing edge of the wing structure. The fresh spars are positioned in a coordinated way on the first fresh skin, removable support members also positioned next to the spars. The second mold half is turned over on to the first mold half so as to position the second fresh skin on the spars and the supports, to produce a fresh wing structure. The fresh wing structure is subjected to a polymerization cycle, using a vacuum bag.",B29C70/345;;B29C65/50;;B29C66/112;;B29C66/1122;;B29C66/1282;;B29C66/12822;;B29C66/12841;;B29C66/12842;;B29C66/131;;B29C66/14;;B29C66/474;;B29C66/54;;B29C66/543;;B29C66/71;;B29C66/721;;B29C66/7212;;B29C66/72141;;B29C66/7254;;B29C66/727;;B29C66/73161;;B29C66/73752;;B29C66/73941;;B29C66/81455;;B29C70/543;;B29C2035/0822;;B29K2063/00;;B29K2105/246;;B29K2707/04;;B29L2031/3085;;B29L2031/608;;B64C3/24;;B29C70/345;;B29C65/50;;B29C66/112;;B29C66/1122;;B29C66/131;;B29C66/474;;B29C66/54;;B29C66/543;;B29C66/71;;B29C66/721;;B29C66/7212;;B29C66/72141;;B29C66/7254;;B29C66/727;;B29C66/73161;;B29C66/73752;;B29C66/73941;;B29C66/81455;;B29C70/543;;B29C2035/0822;;B29K2063/00;;B29K2105/246;;B29K2707/04;;B29L2031/3085;;B29L2031/608;;B64C3/24;;Y02T50/40,B64C3/20;;B29C65/70,"METHOD OF MANUFACTURING AN INTEGRAL PROFILE MONOLITHIC WING STRUCTURE A method of manufacturing a wing structure includes laying a plurality of layers of preimpregnated material on a first mould half and on a second mold half so as to form a first fresh skin and a second fresh skin of the wing structure. A plurality of layers of preimpregnated material are laid in succession on a shaped apparatus to form a fresh leading edge skin of the wing structure. Fresh spars of preimpregnated material are formed. A wedgelike body of expanded plastics material is formed, this body being designed to be interposed between the first and second skins at the trailing edge of the wing structure. The fresh spars are positioned in a coordinated way on the first fresh skin, removable support members also positioned next to the spars. The second mold half is turned over on to the first mold half so as to position the second fresh skin on the spars and the supports, to produce a fresh wing structure. The fresh wing structure is subjected to a polymerization cycle, using a vacuum bag.",
10,"Method and apparatus for drafting and condensing a roving, particularly in a ring spinning frame",A device for drafting and condensing of a roving before its transformation into yarn comprises a drafting unit which confers a predetermined draft on the roving and a condensing unit by the effect of suction on the fibres of the roving through a movable filtering surface reduces its dimensions increasing the cohesion and strength even before it receives the twist from the spinning machine. <IMAGE>,D01H1/22;;D01H5/26;;D01H5/72;;D01H5/86;;D01H1/22;;D01H5/26;;D01H5/72;;D01H5/86,D01H1/22;;D01H5/26;;D01H5/72;;D01H5/86,"Method and apparatus for drafting and condensing a roving, particularly in a ring spinning frame A device for drafting and condensing of a roving before its transformation into yarn comprises a drafting unit which confers a predetermined draft on the roving and a condensing unit by the effect of suction on the fibres of the roving through a movable filtering surface reduces its dimensions increasing the cohesion and strength even before it receives the twist from the spinning machine. <IMAGE>",
