LensID,Title,true_category,predicted_one,confidence_one,predicted_two,confidence_two
001-662-933-367-015,Glass fiber and glass fiber composite material,Mineral Textiles,Mineral Textiles,0.9414031138984378,Natural Textiles,0.027316390736137345
182-948-760-809-117,"XR health platform, system and method",Other,Other,0.8932699488754315,Metal Textiles,0.04217500911024493
199-854-975-466-57X,Production process of anti-wrinkle textile fabric,Natural Textiles,Natural Textiles,0.8553878111500086,Synthetic Textiles,0.1413692277282592
196-827-992-259-81X,PRESS PAD FOR USE IN SINGLE- OR MULTI-DAYLIGHT HOT PRESSES,Metal Textiles,Metal Textiles,0.9254671637855806,Synthetic Textiles,0.0354953417712695
018-657-038-051-701,METHOD FOR THE PRODUCTION OF A FIBROUS METAL STRUCTURE BY WEAVING,Metal Textiles,Metal Textiles,0.9602880726495884,Mineral Textiles,0.01709057090143426
061-277-664-358-326,"Metal mesh, arrangement of a metal mesh and method for illumination",Metal Textiles,Metal Textiles,0.8737563835816645,Mineral Textiles,0.043893801349294104
161-556-864-262-473,"WOVEN OR KNITTED FABRIC, DIAPHRAGM FOR SPEAKER, AND SPEAKER",Metal Textiles,Metal Textiles,0.8502128463183457,Synthetic Textiles,0.12905268477676277
109-319-621-483-349,Fire-proof flannelet fabric for full-vitality textile,Synthetic Textiles,Natural Textiles,0.6927063684681843,Synthetic Textiles,0.2683036826395334
165-902-120-493-097,"Acrylic fiber for artificial hair, method for producing same, and head decoration article containing same",Synthetic Textiles,Synthetic Textiles,0.8778044612152787,Natural Textiles,0.07125276234683586
107-866-810-531-725,Fire protection for fire service helmets in textile fabric with strengthening of the protective helmet by a pad at the wearer face seal including a protective flap with a polyurethane coated Nomex fabric,Synthetic Textiles,Metal Textiles,0.4007013962282772,Synthetic Textiles,0.3697350418052291
085-271-716-013-041,"Improved Metallic Fabrics for Clothing, Upholstering an other Purposes.",Metal Textiles,Metal Textiles,0.7162689431467332,Synthetic Textiles,0.1445534441390969
081-989-847-431-929,Halbzeug aus Metallgewebe,Metal Textiles,Metal Textiles,0.9349778901465843,Synthetic Textiles,0.021514596196379604
038-929-288-793-603,Natural fibre modifying method and modified fibre,Natural Textiles,Natural Textiles,0.6970113647401568,Mineral Textiles,0.17799080936044928
076-541-575-070-931,HETEROCYCLIC ALLYL DERIVATIVES,Other,Other,0.9167706726408325,Metal Textiles,0.03636515580836599
110-286-169-061-701,GLASS TEXTILE COATED WITH PARTIALLY SOLUBLE DEXTRIN-CONTAINING COATING,Mineral Textiles,Mineral Textiles,0.9402795841522855,Natural Textiles,0.02356326490935391
005-077-009-162-637,Biosoluble inorganic fiber and method for producing same,Mineral Textiles,Mineral Textiles,0.7164859832410652,Natural Textiles,0.1224503930451904
195-872-495-884-493,Metallized breathable composite textile,Metal Textiles,Synthetic Textiles,0.5441346928021946,Metal Textiles,0.4322864075878236
069-650-255-660-210,METALLIC YARN,Metal Textiles,Metal Textiles,0.95884571275191,Synthetic Textiles,0.014875147949543118
072-815-477-078-913,Polymeric surfactant compositions and methods of manufacture and use,Synthetic Textiles,Synthetic Textiles,0.6995961199924801,Natural Textiles,0.13503796871349752
033-280-973-679-336,Textile permanent elasticity surface fabric that hygroscopicity is good,Synthetic Textiles,Natural Textiles,0.9369034935249615,Synthetic Textiles,0.04046997908705213
