LensID,Title,true_category,predicted_one,confidence_one,predicted_two,confidence_two
069-690-063-792-127,"MESH STRUCTURE AND METHOD FOR MANUFACTURING SAME, ANTENNA REFLECTION MIRROR, ELECTROMAGNETIC SHIELDING MATERIAL, AND WAVEGUIDE TUBE",Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
065-528-931-353-44X,"Steel wire mesh made of steel wires having hexagonal rings, production device and production method",Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.02
081-046-358-303-017,STRIP-SHAPED STEEL CORD,Metal Textiles,Metal Textiles,0.98,Mineral Textiles,0.01
073-506-111-387-532,A METHOD OF MAKING A SYNTHETIC RESIN STRUCTURE,Metal Textiles,Metal Textiles,0.97,Synthetic Textiles,0.01
065-773-873-561-572,"METHOD FOR MANUFACTURING GOLD THREAD WITH NO DRAWING-INDUCED INCONSISTENCY, AND GOLD THREAD MANUFACTURED BY SAME",Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
069-650-255-660-210,METALLIC YARN,Metal Textiles,Metal Textiles,0.9,Synthetic Textiles,0.08
079-373-952-634-085,"WIRES INCORPORATING A HELICAL COMPONENT, ASSEMBLIES THEREOF, AND USE OF SAID ASSEMBLIES AS CATALYSER AND/OR TO RECOVER PRECIOUS METALS.",Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.03
072-233-647-840-326,"Conductive fabric,method of manufacturing a conductive fabric and apparatus therefor",Metal Textiles,Metal Textiles,0.7,Synthetic Textiles,0.1
079-371-609-369-49X,GLOVE AND GLOVE MANUFACTURING METHOD USING TUNGSTEN YARN,Metal Textiles,Metal Textiles,0.65,Synthetic Textiles,0.3
092-036-004-141-321,Cushion paper,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
085-517-310-214-617,"Multi-purpose filter for e.g. food, pharmaceutical filtration has hard woven structure retaining small particles",Metal Textiles,Other,0.7,Natural Textiles,0.1
106-916-348-975-882,TWISTED REINFORCEMENT FIBERS AND METHOD OF MAKING,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.005
070-081-798-029-335,Heterogeneous fabric for quenching ring,Metal Textiles,Mineral Textiles,0.65,Synthetic Textiles,0.2
067-530-851-292-005,Textile with integrated illumination feature,Metal Textiles,Other,0.8,Metal Textiles,0.05
