LensID,Title,true_category,predicted_one,confidence_one,predicted_two,confidence_two
069-650-255-660-210,METALLIC YARN,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.04
079-371-609-369-49X,GLOVE AND GLOVE MANUFACTURING METHOD USING TUNGSTEN YARN,Metal Textiles,Metal Textiles,0.9,Synthetic Textiles,0.08
069-690-063-792-127,"MESH STRUCTURE AND METHOD FOR MANUFACTURING SAME, ANTENNA REFLECTION MIRROR, ELECTROMAGNETIC SHIELDING MATERIAL, AND WAVEGUIDE TUBE",Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.01
072-233-647-840-326,"Conductive fabric,method of manufacturing a conductive fabric and apparatus therefor",Metal Textiles,Metal Textiles,0.9,Synthetic Textiles,0.05
073-506-111-387-532,A METHOD OF MAKING A SYNTHETIC RESIN STRUCTURE,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.03
081-046-358-303-017,STRIP-SHAPED STEEL CORD,Metal Textiles,Metal Textiles,0.99,Other,0.01
065-528-931-353-44X,"Steel wire mesh made of steel wires having hexagonal rings, production device and production method",Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.005
079-373-952-634-085,"WIRES INCORPORATING A HELICAL COMPONENT, ASSEMBLIES THEREOF, AND USE OF SAID ASSEMBLIES AS CATALYSER AND/OR TO RECOVER PRECIOUS METALS.",Metal Textiles,Metal Textiles,0.97,Other,0.015
070-081-798-029-335,Heterogeneous fabric for quenching ring,Metal Textiles,Mineral Textiles,0.8,Metal Textiles,0.15
055-198-091-295-280,Safety belt and method for producing a safety belt,Metal Textiles,Other,0.6,Synthetic Textiles,0.2
085-517-310-214-617,"Multi-purpose filter for e.g. food, pharmaceutical filtration has hard woven structure retaining small particles",Metal Textiles,Synthetic Textiles,0.9,Natural Textiles,0.05
092-036-004-141-321,Cushion paper,Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.01
067-530-851-292-005,Textile with integrated illumination feature,Metal Textiles,Other,0.8,Metal Textiles,0.15
065-773-873-561-572,"METHOD FOR MANUFACTURING GOLD THREAD WITH NO DRAWING-INDUCED INCONSISTENCY, AND GOLD THREAD MANUFACTURED BY SAME",Metal Textiles,ERROR,0.0,ERROR,0.0
117-137-817-106-628,High temperature dynamic sealing material and preparation method thereof,Metal Textiles,ERROR,0.0,ERROR,0.0
114-576-938-093-54X,OVEN GASKET ATTACHMENT CLIPS,Metal Textiles,Mineral Textiles,0.6,Metal Textiles,0.35
093-089-709-185-207,"MATERIAL CAPABLE OF PRODUCING BARRIER EFFECT TOWARDS MAGNETIC AND ELECTROMAGNETIC FIELDS AND/OR THERAPEUTIC EFFECT, CLOTHING OR THE COMPONENT OF CLOTHING, SANITARY CLOTHING, FOOTWEAR OR THE COMPONENT OF FOOTWEAR, ELEMENT OF INTERIOR DECORATION, COVERING OF ELEMENTS OF INTERIOR DECORATION AND COMPONENT OF BED LINEN",Metal Textiles,Metal Textiles,0.94,Other,0.03
106-916-348-975-882,TWISTED REINFORCEMENT FIBERS AND METHOD OF MAKING,Metal Textiles,Metal Textiles,0.98,Synthetic Textiles,0.01
116-603-974-365-825,Conductive heating fiber fabric with incision and connection structure thereof,Metal Textiles,Metal Textiles,0.9,Synthetic Textiles,0.07
118-058-162-160-092,Controllable surface area fabric,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.03
107-387-871-310-645,"Silver yarn, plied yarn silver yarn, functional fabric using same, and method for producing same",Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.01
116-637-444-674-570,COMPOSITE FIBER,Metal Textiles,Metal Textiles,0.5,Mineral Textiles,0.45
124-299-060-002-493,"A Protective Wire Net, A Protective Structure Constructed With the Net, and the Use of the Protective Wire Net for the Construction of A Protective Structure",Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.01
105-960-545-134-312,Improvements in the Manufacture of Metallic Fabrics.,Metal Textiles,Metal Textiles,0.99,Other,0.01
109-529-650-815-109,Flexible structures for sensors and electronics,Metal Textiles,Other,0.85,Synthetic Textiles,0.1
128-303-643-318-232,Woven or knitted fabric prepared from a concave-convex patterned metal fiber yarn,Metal Textiles,Metal Textiles,1.0,Natural Textiles,0.0
115-002-645-412-539,THREE-DIMENSIONAL NETS FROM NOBLE METALS FOR PERFORMING CATALYTIC REACTIONS OF GASES,Metal Textiles,Metal Textiles,0.98,Mineral Textiles,0.01
123-155-387-974-228,Microfiber cleaner mixed with metallic yarn,Metal Textiles,Metal Textiles,0.65,Synthetic Textiles,0.3
132-904-217-324-857,TEXTILE FABRIC COMPRISING BUNDLES OF MACHINED METAL FILAMENTS,Metal Textiles,Metal Textiles,0.99,Synthetic Textiles,0.005
150-896-535-165-893,"STEEL WIRE MESH MADE OF STEEL WIRES HAVING HEXAGONAL LOOPS, PRODUCTION DEVICE, AND PRODUCTION METHOD.",Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.01
117-555-772-690-999,Fabric-Based Items Having Strands With Embedded Components,Metal Textiles,Synthetic Textiles,0.7,Other,0.2
136-423-147-157-376,METAL FABRICS,Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.01
147-158-751-976-743,STEEL CORD,Metal Textiles,Metal Textiles,1.0,Natural Textiles,0.0
134-477-324-045-473,Manufacturing technology of high-tenacity string,Metal Textiles,Metal Textiles,0.75,Synthetic Textiles,0.2
151-480-427-016-492,Composite termite barrier,Metal Textiles,Metal Textiles,0.95,Other,0.02
159-005-756-825-061,METAL ALLOY KNIT FABRIC FOR HIGH TEMPERATURE INSULATING MATERIALS,Metal Textiles,Metal Textiles,0.99,Synthetic Textiles,0.005
161-556-864-262-473,"WOVEN OR KNITTED FABRIC, DIAPHRAGM FOR SPEAKER, AND SPEAKER",Metal Textiles,Metal Textiles,0.9,Synthetic Textiles,0.05
144-346-264-182-769,"Yarn, yarn forming process, protective textile and knitting method and device",Metal Textiles,Metal Textiles,0.99,Other,0.01
161-627-272-376-392,METAL OXIDE NANOFIBER ELECTRODE AND METHOD,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.03
167-715-017-158-863,"FABRIC, PARTICULARLY FOR JEWELRY, CLOTHING, AND TECHNICAL OR RESEARCH PURPOSES",Metal Textiles,Other,0.65,Metal Textiles,0.1
165-416-145-064-463,"Weaving process to manufacture a thermoelectric label, e.g. for powering hidden microphones, alternately inserting weft threads of electrically conducting material",Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.02
154-523-220-092-072,PRODUCTS COMPRISING REINFORCING FIBRES AND SHAPE MEMORY ALLOY WIRES AND METHODS OF MAKING THEREOF,Metal Textiles,Metal Textiles,0.9,Synthetic Textiles,0.05
155-970-630-328-528,"WIRES INCORPORATING A HELICAL COMPONENT, ASSEMBLIES THEREOF, AND USE OF SAID ASSEMBLIES AS CATALYSER AND/OR TO RECOVER PRECIOUS METALS",Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.005
169-259-364-478-075,CONDUCTIVE FABRIC AND METHOD AND APPARATUS FOR MANUFACTURING SAME,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.02
171-026-675-907-919,METAL-CARBON NANOFIBER AND PRODUCTION METHOD THEREOF,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.02
159-968-773-316-519,Hysteresis in textile sensor,Metal Textiles,Metal Textiles,0.5,Synthetic Textiles,0.3
158-328-913-994-740,AN ELECTRICALLY CONDUCTIVE TEXTILE,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.08
168-450-832-252-325,VIBRATORY SCREEN,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.04
168-674-114-922-374,Composite fiber,Metal Textiles,Metal Textiles,0.55,Mineral Textiles,0.4
172-983-230-815-764,HOLLOW METAL FIBER FOR ABSORBING ELECTROMAGNETIC WAVE AND ITS MANUFACTURING METHOD,Metal Textiles,Metal Textiles,0.99,Synthetic Textiles,0.01
162-353-091-803-923,Tessuto conduttivo ad elevata versatilità di impiego.,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.02
182-272-021-129-698,SEMICONDUCTING MATERIALS WITH SURROUNDING RADIAL P-N DIODES,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.1
190-965-337-718-052,Knitted metal wire catalysts for exhaust gas conversion,Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.01
184-493-906-786-056,Garment with unit coil intermeshing electric power storage function,Metal Textiles,Metal Textiles,0.98,Synthetic Textiles,0.01
190-134-529-002-465,Alloy wire and preparation method and application thereof,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.02
194-574-311-905-527,Cut resistant rope,Metal Textiles,Metal Textiles,0.98,Synthetic Textiles,0.01
188-519-074-310-933,"Infrared wall surface heater for use in home and operating hall, has electric conductors lying transverse to carbon threads at both ends of heating element that is electrically protected by layers of electrically insulating films",Metal Textiles,Mineral Textiles,0.85,Metal Textiles,0.1
193-764-393-063-829,METALLIC FIBER NON-WOVEN FABRIC AND ITS PRODUCTION METHOD.,Metal Textiles,Metal Textiles,0.98,Synthetic Textiles,0.01
197-965-080-906-203,Tungsten filament yarn and textile thereof,Metal Textiles,Metal Textiles,0.98,Natural Textiles,0.01
007-980-200-890-417,FABRIC STRUCTURE COMPRISING SILVER-GERMANIUM-COPPER ALLOY,Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.01
002-201-040-412-776,MANUFACTURING METHOD OF METAL FIBER IMMOBILIZED BY PHOTOCATALYST.NANOSILVER,Metal Textiles,Metal Textiles,0.98,Synthetic Textiles,0.01
196-827-992-259-81X,PRESS PAD FOR USE IN SINGLE- OR MULTI-DAYLIGHT HOT PRESSES,Metal Textiles,Metal Textiles,0.85,Synthetic Textiles,0.1
005-272-528-894-884,Alloy wire rod and preparation method and application thereof,Metal Textiles,Metal Textiles,0.95,Mineral Textiles,0.04
002-310-147-686-745,"Verfahren zur Herstellung eines Kalkfängergestricks, Kalkfängereinrichtung, Verfahren zum Filtern von Kalk sowie Verwendung hierzu",Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.01
000-497-575-062-103,CATALYSTS AND GETTER SYSTEMS,Metal Textiles,Other,0.99,Metal Textiles,0.01
016-218-172-568-819,"A protective metal netting with interwoven wires, and a machine and a method for its manufacture",Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.005
003-725-830-034-056,ELECTROMAGNETICALLY SHIELDING MATERIAL,Metal Textiles,Metal Textiles,0.99,Synthetic Textiles,0.005
018-400-715-086-255,ELECTROMAGNETIC WAVE SHIELDING FABRIC,Metal Textiles,Metal Textiles,0.99,Other,0.005
013-526-318-040-503,PROTECTIVE MESH IN PARTICULAR FOR ROCKFALL PROTECTION OR FOR SLOPE STABILISATION,Metal Textiles,Metal Textiles,0.95,Synthetic Textiles,0.04
022-583-688-805-865,Gewebe mit durch eine Drehverbindung gebundenen metallischen Elementen,Metal Textiles,Metal Textiles,0.99,Mineral Textiles,0.005
018-657-038-051-701,METHOD FOR THE PRODUCTION OF A FIBROUS METAL STRUCTURE BY WEAVING,Metal Textiles,Metal Textiles,0.99,Other,0.01
